modelIdentifier,spinSpeedRated,type,onMarketStartDate,spinSpeedHalf,ratedCapacity,spinClass,maxTemperatureRated,maxTemperatureQuarter,dimensionDepth,guaranteeDuration,dimensionHeight,powerNetworkStandby,moisture,spinSpeedQuarter,energyEfficiencyIndex,noiseClass,powerStandbyMode,powerOffMode,webLinkSupplier,programmeDurationHalf,programmeDurationQuarter,energyConsPerCycle,noise,waterCons,energyClass,programmeDurationRated,dimensionWidth,supplierOrTrademark,energyConsPer100Cycle,maxTemperatureHalf,powerDelayStart,rinsingEffectiveness
EW6SN326SP 914340346,1151.0,FREE_STANDING,"[2021, 9, 13]",1151.0,6.0,B,45.0,25.0,41.0,24.0,84.0,,53.5,1151.0,79.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914340346,145.0,145.0,0.646,77.0,42.0,D,190.0,60.0,Electrolux,65.0,35.0,4.0,4.9
ES-NFB014CWA-DE,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,10.0,B,41.0,23.0,58.0,24.0,85.0,,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphomeappliances.com,170.0,140.0,0.514,75.0,37.0,A,238.0,60.0,SHARP,51.0,26.0,4.0,5.0
ES-NB714CWA-BE,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,7.0,B,38.0,23.0,53.0,24.0,85.0,,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphomeappliances.com,162.0,160.0,0.448,75.0,37.0,A,208.0,60.0,SHARP,45.0,28.0,4.0,5.0
ES-NFH014CAA-DE,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,10.0,B,41.0,23.0,58.0,24.0,85.0,,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphomeappliances.com,170.0,140.0,0.514,75.0,37.0,A,238.0,60.0,SHARP,51.0,26.0,4.0,5.0
ES-NFW714CWA-DE,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,7.0,B,38.0,23.0,53.0,24.0,85.0,,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphomeappliances.com,162.0,160.0,0.448,75.0,37.0,A,208.0,60.0,SHARP,45.0,28.0,4.0,5.0
ES-NFW914CWA-DE,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,9.0,B,39.0,23.0,58.0,24.0,85.0,,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphomeappliances.com,170.0,140.0,0.494,75.0,36.0,A,228.0,60.0,SHARP,49.0,26.0,4.0,5.0
ES-NFB914CWA-BX,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,9.0,B,39.0,23.0,58.0,24.0,85.0,,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphomeappliances.com,170.0,140.0,0.494,75.0,36.0,A,228.0,60.0,SHARP,49.0,26.0,4.0,5.0
ES-NB014CWA-BE,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,10.0,B,41.0,23.0,58.0,24.0,85.0,,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphomeappliances.com,170.0,140.0,0.514,75.0,37.0,A,238.0,60.0,SHARP,51.0,26.0,4.0,5.0
ES-NFW014CWA-DE,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,10.0,B,41.0,23.0,58.0,24.0,85.0,,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphomeappliances.com,170.0,140.0,0.514,75.0,37.0,A,238.0,60.0,SHARP,51.0,26.0,4.0,5.0
ES-NFB914CWA-DE,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,9.0,B,39.0,23.0,58.0,24.0,85.0,,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphomeappliances.com,170.0,140.0,0.494,75.0,36.0,A,228.0,60.0,SHARP,49.0,26.0,4.0,5.0
ES-NB914CWA-BE,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,9.0,B,39.0,23.0,58.0,24.0,85.0,,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphomeappliances.com,170.0,140.0,0.494,75.0,36.0,A,228.0,60.0,SHARP,49.0,26.0,4.0,5.0
ES-NFH914CADA-DE,1330.0,FREE_STANDING,"[2021, 9, 10]",1330.0,9.0,B,34.0,22.0,58.0,24.0,85.0,,53.4,1330.0,41.4,B,0.5,0.5,http://www.sharphomeappliances.com,170.0,170.0,0.394,75.0,36.0,A,228.0,60.0,SHARP,39.0,24.0,4.0,5.0
