modelIdentifier,spinSpeedRated,type,onMarketStartDate,spinSpeedHalf,ratedCapacity,spinClass,maxTemperatureRated,maxTemperatureQuarter,dimensionDepth,guaranteeDuration,dimensionHeight,powerNetworkStandby,moisture,spinSpeedQuarter,energyEfficiencyIndex,noiseClass,powerStandbyMode,powerOffMode,webLinkSupplier,programmeDurationHalf,programmeDurationQuarter,energyConsPerCycle,noise,waterCons,energyClass,programmeDurationRated,dimensionWidth,supplierOrTrademark,energyConsPer100Cycle,maxTemperatureHalf,powerDelayStart,rinsingEffectiveness
L6B51470 914921781,1400.0,FREE_STANDING,"[2024, 2, 4]",1400.0,7.0,B,35.0,24.0,58.0,24.0,85.0,,53.3,1400.0,51.9,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914921781,160.0,160.0,0.447,74.0,41.0,A,205.0,60.0,AEG,45.0,35.0,4.0,4.9
H7W 412MBCR8-S,1330.0,FREE_STANDING,"[2024, 2, 4]",1330.0,12.0,B,33.0,25.0,67.0,24.0,85.0,2.0,53.9,1330.0,41.6,A,0.5,0.5,https://corporate.haier-europe.com/en/,178.0,168.0,0.435,72.0,48.0,A,238.0,60.0,Hoover,44.0,30.0,4.0,4.9
H7W 411MBC9-S,1330.0,FREE_STANDING,"[2024, 2, 4]",1330.0,11.0,B,28.0,25.0,67.0,24.0,85.0,2.0,53.9,1330.0,36.4,A,0.5,0.5,https://corporate.haier-europe.com/en/,178.0,168.0,0.371,72.0,48.0,A,238.0,60.0,Hoover,37.0,26.0,4.0,4.9
H7W 412MBC8-S,1330.0,FREE_STANDING,"[2024, 2, 4]",1330.0,12.0,B,33.0,25.0,66.0,24.0,85.0,2.0,53.9,1330.0,41.6,A,0.5,0.5,https://corporate.haier-europe.com/en/,178.0,168.0,0.435,72.0,48.0,A,238.0,59.0,Hoover,44.0,30.0,4.0,4.9
FF0912SA0FR,1200.0,FREE_STANDING,"[2024, 2, 3]",1200.0,9.0,B,32.0,23.0,56.0,24.0,85.0,,53.9,1200.0,51.9,B,,0.5,http://www.tcl.com/,174.0,174.0,0.494,76.0,50.0,A,228.0,60.0,TCL,49.0,29.0,4.0,5.0
RPD 5106BWMBC8-S,1451.0,FREE_STANDING,"[2024, 2, 3]",1451.0,10.0,B,32.0,24.0,58.0,24.0,85.0,2.0,53.9,1451.0,41.6,C,1.0,0.5,https://corporate.haier-europe.com/en/,180.0,180.0,0.411,78.0,51.0,A,239.0,60.0,Candy,41.0,28.0,4.0,4.9
FF0812SA0FR,1200.0,FREE_STANDING,"[2024, 2, 3]",1200.0,8.0,B,34.0,23.0,52.0,24.0,85.0,,53.9,1200.0,51.9,B,,0.5,http://www.tcl.com/,168.0,168.0,0.472,76.0,47.0,A,218.0,60.0,TCL,47.0,28.0,4.0,5.0
ES-NFB014DWNAO-EN,1330.0,FREE_STANDING,"[2024, 2, 2]",1330.0,10.0,B,41.0,23.0,58.0,24.0,85.0,0.0,53.4,1330.0,52.0,B,1.0,0.5,http://www.sharphome.eu,180.0,180.0,0.514,75.0,52.0,A,239.0,60.0,SHARP,51.0,26.0,4.0,5.0
WMI1480T15A,1400.0,FREE_STANDING,"[2024, 2, 1]",1400.0,8.0,B,37.0,22.0,53.0,24.0,85.0,0.0,53.4,1400.0,52.0,B,1.0,0.5,www.voxelectronics.com,168.0,168.0,0.791,76.0,48.0,A,218.0,60.0,VOX Electronics,47.0,28.0,4.0,5.0
WNM-12AW,1400.0,FREE_STANDING,"[2024, 2, 1]",1400.0,12.0,B,34.0,20.0,64.0,24.0,85.0,,53.9,1400.0,52.0,B,,0.5,https://www.mywestnet.com/,192.0,192.0,0.544,76.0,50.0,A,240.0,60.0,OMNYS ,54.0,27.0,4.0,5.0
WMBA10PAR,1400.0,FREE_STANDING,"[2024, 2, 1]",1400.0,10.0,B,33.0,20.0,60.0,24.0,85.0,0.0,53.9,1400.0,52.0,B,0.0,0.5,https://www.seitanidis.com.gr/,180.0,180.0,0.514,76.0,51.0,A,239.0,60.0,PRINCESSE,51.0,29.0,4.0,5.0
925270566 - EWF-9401 WH,1351.0,FREE_STANDING,"[2024, 2, 1]",1351.0,9.0,B,32.0,22.0,54.0,36.0,85.0,,53.9,1351.0,51.9,A,1.0,0.5,http://www.edesa.com/,174.0,174.0,0.494,72.0,50.0,A,228.0,60.0,Edesa,49.0,30.0,4.0,5.0
PLDI 1510 A KING,1450.0,FREE_STANDING,"[2024, 2, 1]",1450.0,10.0,B,35.0,22.0,60.0,24.0,85.0,,53.9,1450.0,51.9,C,,0.5,www.philco.cz,180.0,180.0,0.513,80.0,53.0,A,239.0,57.0,PHILCO,51.0,30.0,4.0,5.0
ELF814-4b,1330.0,FREE_STANDING,"[2024, 2, 1]",1330.0,8.0,B,37.0,22.0,53.0,36.0,85.0,,53.4,1330.0,60.0,B,1.0,0.5,http://www.boulanger.com/info/assistance,168.0,168.0,0.473,76.0,48.0,A,218.0,60.0,Essentiel b,47.0,28.0,4.0,5.0
925270568 - EWF-10400 WH ,1351.0,FREE_STANDING,"[2024, 2, 1]",1351.0,10.0,B,37.0,23.0,54.0,36.0,85.0,,53.9,1351.0,51.9,A,1.0,0.5,www.edesa.es,180.0,180.0,0.513,72.0,52.0,A,239.0,60.0,Edesa,51.0,32.0,4.0,5.0
WMI1280T15A,1200.0,FREE_STANDING,"[2024, 2, 1]",1200.0,8.0,B,37.0,22.0,53.0,24.0,85.0,0.0,53.4,1200.0,52.0,B,1.0,0.5,www.voxelectronics.com,168.0,168.0,0.791,75.0,48.0,A,218.0,60.0,VOX Electronics,47.0,28.0,4.0,5.0
ES-NFA812DWNA-ES,1200.0,FREE_STANDING,"[2024, 2, 1]",1200.0,8.0,B,39.0,23.0,56.0,36.0,85.0,0.0,53.4,1200.0,52.0,B,1.0,0.5,http://www.sharphome.eu,168.0,168.0,0.473,74.0,48.0,A,218.0,60.0,SHARP,47.0,31.0,4.0,5.0
ES-NFL014CWNA-ES,1330.0,FREE_STANDING,"[2024, 2, 1]",1330.0,10.0,B,41.0,23.0,58.0,36.0,85.0,0.0,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphome.eu,180.0,180.0,0.514,75.0,52.0,A,239.0,60.0,SHARP,51.0,26.0,4.0,5.0
ES-NFL014CWNA-EE,1330.0,FREE_STANDING,"[2024, 2, 1]",1330.0,10.0,B,41.0,23.0,58.0,24.0,85.0,0.0,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphome.eu,180.0,180.0,0.514,75.0,52.0,A,239.0,60.0,SHARP,51.0,26.0,4.0,5.0
925270565 - EWF-8403 WH,1350.0,FREE_STANDING,"[2024, 2, 1]",1350.0,8.0,B,36.0,24.0,48.0,36.0,85.0,,53.9,1350.0,51.9,A,1.0,0.5,www.edesa.es,168.0,168.0,0.472,72.0,48.0,A,218.0,60.0,Edesa,47.0,29.0,4.0,5.0
ELF1014-8s,1330.0,FREE_STANDING,"[2024, 2, 1]",1330.0,10.0,B,41.0,23.0,58.0,36.0,85.0,,53.4,1330.0,52.0,B,1.0,0.5,http://www.boulanger.com/info/assistance,180.0,180.0,0.514,75.0,52.0,A,239.0,60.0,Essentiel b,51.0,26.0,4.0,5.0
ES-NFL814CWNA-ES,1330.0,FREE_STANDING,"[2024, 2, 1]",1330.0,8.0,B,39.0,23.0,56.0,36.0,85.0,0.0,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphome.eu,168.0,168.0,0.473,75.0,48.0,A,218.0,60.0,SHARP,47.0,31.0,4.0,5.0
ES-NFL914CWNA-ES,1330.0,FREE_STANDING,"[2024, 2, 1]",1330.0,9.0,B,42.0,24.0,58.0,36.0,85.0,0.0,53.4,1330.0,52.0,B,0.5,0.5,http://www.sharphome.eu,174.0,174.0,0.494,75.0,50.0,A,228.0,60.0,SHARP,49.0,28.0,4.0,5.0
WSAP84AWI,1400.0,FREE_STANDING,"[2024, 2, 1]",1400.0,8.0,B,35.0,21.0,47.0,24.0,85.0,0.65,53.0,1400.0,51.8,B,0.5,0.5,https://www.gorenjegroup.com,153.0,151.0,0.471,76.0,47.0,A,217.0,60.0,GORENJE,47.0,24.0,1.24,4.8
WUV84221BW 7003940005,1400.0,FREE_STANDING,"[2024, 2, 1]",1400.0,8.0,B,32.0,23.0,55.0,24.0,85.0,,53.9,1400.0,51.5,A,1.0,0.5,http://support.beko.com,167.0,167.0,0.468,72.0,46.0,A,218.0,60.0,Beko,47.0,29.0,4.0,4.9
WMI1270T15B,1200.0,FREE_STANDING,"[2024, 2, 1]",1200.0,7.0,B,44.0,23.0,50.0,24.0,85.0,0.0,53.4,1200.0,60.0,B,1.0,0.5,www.voxelectronics.com,162.0,162.0,0.891,75.0,45.0,B,208.0,60.0,VOX Electronics,52.0,29.0,4.0,5.0
WMI1470T15B,1400.0,FREE_STANDING,"[2024, 2, 1]",1400.0,7.0,B,44.0,23.0,50.0,24.0,85.0,0.0,53.4,1400.0,60.0,B,1.0,0.5,www.voxelectronics.com,162.0,162.0,0.891,76.0,45.0,B,208.0,60.0,VOX Electronics,52.0,29.0,4.0,5.0
WAFN8143A PS 7162847200,1400.0,FREE_STANDING,"[2024, 1, 31]",1400.0,8.0,B,31.0,23.0,59.0,24.0,84.0,2.0,53.9,1400.0,51.5,A,0.5,0.5,http://support.blombergappliances.com,167.0,167.0,0.468,72.0,39.0,A,218.0,60.0,BLOMBERG,47.0,31.0,4.0,4.9
CTM7814VN,1350.0,FREE_STANDING,"[2024, 1, 31]",1350.0,8.0,B,33.0,22.0,47.0,24.0,85.0,,53.9,1350.0,51.9,B,,0.5,http://www.elvita.se,168.0,168.0,0.472,76.0,48.0,A,218.0,60.0,Elvita,47.0,29.0,4.0,5.0
WEB395 WCS 125 Edition,1400.0,FREE_STANDING,"[2024, 1, 31]",1400.0,8.0,B,32.0,25.0,64.0,24.0,85.0,0.6000000000000001,53.9,1400.0,41.6,A,,0.3,https://www.miele.com/,168.0,149.0,0.378,72.0,48.0,A,219.0,60.0,Miele,38.0,28.0,3.0,5.0
BM3WFSU48415WB 7004840003,1400.0,FREE_STANDING,"[2024, 1, 31]",1400.0,8.0,B,32.0,24.0,55.0,24.0,85.0,,53.9,1400.0,51.5,B,0.5,0.5,http://support.beko.com,167.0,167.0,0.468,76.0,47.0,A,218.0,60.0,Beko,47.0,30.0,4.0,4.9
VT37026Q -01,1200.0,FREE_STANDING,"[2024, 1, 31]",1200.0,7.0,B,35.0,23.0,61.0,0.0,88.0,,53.9,1200.0,51.5,C,0.5,0.5,http://www.vedette.fr,162.0,162.0,0.444,78.0,45.0,A,208.0,40.0,VEDETTE,44.0,31.0,4.0,5.0
WAFN 7123A PS 7176647500,1400.0,FREE_STANDING,"[2024, 1, 31]",1400.0,7.0,B,37.0,25.0,49.0,24.0,84.0,,53.9,1400.0,51.5,A,1.0,0.5,http://support.blombergappliances.com,161.0,161.0,0.444,72.0,40.0,A,207.0,60.0,BLOMBERG,44.0,33.0,4.0,4.9
MFE80-T1312B/F0E2-EU(NA),1250.0,FREE_STANDING,"[2024, 1, 31]",1250.0,8.0,B,38.0,23.0,61.0,24.0,88.0,0.0,53.9,1250.0,51.9,C,0.0,0.5,www.midea.com,168.0,168.0,0.472,78.0,48.0,A,218.0,40.0,AVG ,47.0,32.0,4.0,5.0
VMA714D03S,1400.0,FREE_STANDING,"[2024, 1, 30]",1400.0,7.0,B,34.0,24.0,48.0,24.0,85.0,,53.4,1400.0,51.7,B,,0.5,www.completelectroserv.com,159.0,152.0,0.446,75.0,34.0,A,200.0,60.0,Vortex,45.0,28.0,4.0,5.0
ETA384390000A,1151.0,FREE_STANDING,"[2024, 1, 30]",1151.0,8.0,B,37.0,24.0,60.0,24.0,86.0,2.0,53.9,1151.0,52.0,C,1.0,0.5,www.eta.cz,168.0,168.0,0.47,77.0,44.0,A,218.0,41.0,ETA,47.0,30.0,4.0,4.9
ETA384490000A,1200.0,FREE_STANDING,"[2024, 1, 30]",1200.0,7.0,B,33.0,22.0,61.0,24.0,88.0,,53.9,1200.0,51.5,C,0.5,0.5,www.eta.cz,162.0,162.0,0.444,78.0,45.0,A,208.0,40.0,ETA,44.0,28.0,4.0,5.0
BWEBE 81496X WKV,1351.0,FREE_STANDING,"[2024, 1, 30]",1351.0,8.0,B,33.0,21.0,63.0,24.0,85.0,,53.0,1351.0,52.0,C,0.5,0.5,https://docs.whirlpool.eu/,168.0,160.0,0.472,78.0,48.0,A,218.0,60.0,INDESIT,47.0,28.0,4.0,5.0
CST 28T2/1-11,1151.0,FREE_STANDING,"[2024, 1, 30]",1151.0,8.0,B,39.0,27.0,60.0,24.0,86.0,,53.9,1151.0,80.0,C,1.0,0.5,https://corporate.haier-europe.com/en/,168.0,168.0,0.727,79.0,44.0,D,218.0,41.0,Candy,73.0,36.0,4.0,4.9
EW6T5372C 913148504,1251.0,FREE_STANDING,"[2024, 1, 29]",1251.0,7.0,B,46.0,23.0,60.0,24.0,91.0,,53.9,1251.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913148504,160.0,160.0,0.447,79.0,45.0,A,205.0,40.0,Electrolux,45.0,25.0,4.0,4.9
LTR7L731E1 913143769,1251.0,FREE_STANDING,"[2024, 1, 29]",1251.0,7.0,B,46.0,23.0,60.0,24.0,90.0,,53.9,1251.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143769,160.0,160.0,0.447,79.0,45.0,A,205.0,40.0,AEG,45.0,25.0,4.0,4.9
EW7T3733BA 913148362,1251.0,FREE_STANDING,"[2024, 1, 29]",1251.0,7.0,B,46.0,23.0,60.0,0.0,91.0,,53.9,1251.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913148362,160.0,160.0,0.447,79.0,45.0,A,205.0,40.0,Electrolux,45.0,25.0,4.0,4.9
MF200W100WB/W-HR,1350.0,FREE_STANDING,"[2024, 1, 29]",1350.0,10.0,B,35.0,22.0,57.0,24.0,85.0,2.0,53.9,1350.0,51.9,C,,0.5,www.midea.com,180.0,180.0,0.513,80.0,52.0,A,239.0,60.0,MIDEA,51.0,30.0,4.0,5.0
EW6T4264AM 913148458,1151.0,FREE_STANDING,"[2024, 1, 29]",1151.0,6.0,B,41.0,23.0,60.0,0.0,91.0,,53.9,1151.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913148458,155.0,155.0,0.42,78.0,43.0,A,195.0,40.0,Electrolux,42.0,25.0,4.0,4.9
EW8T3372C 913148367,1251.0,FREE_STANDING,"[2024, 1, 29]",1251.0,7.0,B,41.0,22.0,60.0,24.0,91.0,,53.9,1251.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913148367,161.0,161.0,0.447,79.0,44.0,A,205.0,40.0,Electrolux,45.0,24.0,4.0,4.9
LTR6L731G1 913143679,1251.0,FREE_STANDING,"[2024, 1, 29]",1251.0,7.0,B,46.0,23.0,60.0,24.0,90.0,,53.9,1251.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143679,160.0,160.0,0.447,79.0,45.0,A,205.0,40.0,AEG,45.0,25.0,4.0,4.9
LTR8C373C 913143844,1251.0,FREE_STANDING,"[2024, 1, 29]",1251.0,7.0,B,41.0,22.0,60.0,24.0,90.0,,53.9,1251.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143844,161.0,161.0,0.447,79.0,44.0,A,205.0,40.0,AEG,45.0,24.0,4.0,4.9
VRV2D7394D 914501546,1351.0,FREE_STANDING,"[2024, 1, 29]",1351.0,9.0,B,35.0,23.0,64.0,24.0,85.0,,53.4,1351.0,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914501546,155.0,150.0,0.493,75.0,46.0,A,220.0,60.0,AEG,49.0,33.0,4.0,4.9
HW90-BPD13386U1,1300.0,FREE_STANDING,"[2024, 1, 29]",1300.0,9.0,B,38.0,25.0,61.0,24.0,93.0,2.0,53.7,1300.0,51.9,A,,0.5,www.haier.com,172.0,168.0,0.493,72.0,48.0,A,228.0,40.0,Haier,49.0,30.0,4.0,5.0
KOBLENZ8214WA-030B,1350.0,FREE_STANDING,"[2024, 1, 29]",1350.0,8.0,B,33.0,24.0,48.0,24.0,85.0,,53.9,1350.0,51.9,B,1.0,0.5,https://domest.nl/wassen/KOBLENZ8214WA-030B,168.0,168.0,0.472,76.0,48.0,A,218.0,60.0,Frilec,47.0,28.0,4.0,5.0
BWE 91496X WSV EE,1351.0,FREE_STANDING,"[2024, 1, 29]",1351.0,9.0,B,32.0,25.0,63.0,24.0,85.0,,53.0,1351.0,51.8,C,0.5,0.5,https://docs.whirlpool.eu/,170.0,130.0,0.493,78.0,50.0,A,225.0,60.0,INDESIT,49.0,29.0,4.0,4.9
EW6T4613HA 913148459,1251.0,FREE_STANDING,"[2024, 1, 29]",1251.0,6.0,B,41.0,23.0,60.0,0.0,91.0,,53.9,1251.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913148459,155.0,155.0,0.42,79.0,43.0,A,195.0,40.0,Electrolux,42.0,25.0,4.0,4.9
ML6SE26DP 914343105,1151.0,FREE_STANDING,"[2024, 1, 29]",1151.0,6.0,B,42.0,23.0,42.0,24.0,84.0,,53.5,1151.0,59.8,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914343105,155.0,145.0,0.484,72.0,40.0,B,197.0,60.0,AEG,48.0,31.0,4.0,4.9
EW6T5612BB 913138559,1151.0,FREE_STANDING,"[2024, 1, 29]",1151.0,6.0,B,44.0,23.0,60.0,0.0,91.0,,53.5,1151.0,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913138559,155.0,155.0,0.484,78.0,43.0,B,195.0,40.0,Electrolux,48.0,30.0,4.0,4.9
MEW6S132X6P 914342324,1151.0,FREE_STANDING,"[2024, 1, 29]",1151.0,6.0,B,42.0,23.0,41.0,24.0,84.0,,53.5,1151.0,59.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914342324,155.0,145.0,0.484,74.0,40.0,B,197.0,60.0,Electrolux,48.0,31.0,4.0,4.9
EW6SMB326SP 914342323,1151.0,FREE_STANDING,"[2024, 1, 29]",1151.0,6.0,B,42.0,23.0,41.0,24.0,84.0,,53.5,1151.0,59.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914342323,155.0,145.0,0.484,74.0,40.0,B,197.0,60.0,Electrolux,48.0,31.0,4.0,4.9
EW6T5136DB 913138558,1151.0,FREE_STANDING,"[2024, 1, 29]",1151.0,6.0,B,44.0,23.0,60.0,0.0,91.0,,53.5,1151.0,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913138558,155.0,155.0,0.484,78.0,43.0,B,195.0,40.0,Electrolux,48.0,30.0,4.0,4.9
F812D,1200.0,FREE_STANDING,"[2024, 1, 29]",1200.0,8.0,B,39.0,30.0,53.0,24.0,84.0,,54.6,1200.0,67.4,C,0.36,0.09,http://www.sangiorgioelettrodomestici.it/,166.0,140.0,0.61,79.0,44.0,C,206.0,60.0,SANGIORGIO,61.0,32.0,2.8,5.1
L6TPO621N5 913133508,1151.0,FREE_STANDING,"[2024, 1, 29]",1151.0,6.0,B,47.0,25.0,60.0,24.0,89.0,,53.5,1151.0,79.8,C,0.48,0.48,https://support.electroluxgroup.eu/external/PISlink/Products/913133508,155.0,155.0,0.646,77.0,40.0,D,197.0,40.0,AEG,65.0,39.0,4.0,4.9
WW11DG6B25LK,1400.0,FREE_STANDING,"[2024, 1, 26]",1400.0,11.0,B,33.0,23.0,60.0,24.0,85.0,2.0,53.9,1400.0,46.8,A,,0.5,https://www.samsung.com/support,180.0,160.0,0.477,72.0,54.0,A,240.0,60.0,Samsung,48.0,27.0,4.0,5.0
WW11DG6B85LH,1400.0,FREE_STANDING,"[2024, 1, 26]",1400.0,11.0,B,33.0,23.0,60.0,24.0,85.0,2.0,53.9,1400.0,46.8,A,,0.5,https://www.samsung.com/support,180.0,160.0,0.477,72.0,54.0,A,240.0,60.0,Samsung,48.0,27.0,4.0,5.0
WAFN9143A PS 7163543000,1400.0,FREE_STANDING,"[2024, 1, 25]",1400.0,9.0,B,29.0,25.0,64.0,24.0,84.0,2.0,53.9,1400.0,51.5,B,0.5,0.5,http://support.blombergappliances.com,173.0,173.0,0.49,74.0,43.0,A,228.0,60.0,BLOMBERG,49.0,33.0,4.0,4.9
980181 WT 813 A W566C,1250.0,FREE_STANDING,"[2024, 1, 24]",1250.0,8.0,B,38.0,23.0,61.0,24.0,88.0,,53.9,1250.0,51.9,C,,0.5,https://www.electrodepot.fr/international-after-sales,168.0,168.0,0.472,78.0,48.0,A,218.0,40.0,VALBERG,47.0,32.0,4.0,5.0
AWM-70415INV,1400.0,FREE_STANDING,"[2024, 1, 24]",1400.0,7.0,B,31.0,21.0,48.0,36.0,85.0,0.0,53.9,1400.0,52.0,B,0.0,0.5,www.techmart.bg,162.0,162.0,0.448,76.0,37.0,A,208.0,60.0,Arielli,45.0,25.0,4.0,5.0
AWM-80415INV,1400.0,FREE_STANDING,"[2024, 1, 24]",1400.0,8.0,B,33.0,23.0,51.0,36.0,85.0,0.0,53.9,1400.0,52.0,B,0.0,0.52,www.techmart.bg,170.0,170.0,0.473,76.0,37.0,A,218.0,60.0,Arielli,47.0,28.0,4.0,5.0
BML1408,1400.0,FREE_STANDING,"[2024, 1, 24]",1400.0,8.0,B,33.0,23.0,51.0,24.0,85.0,,53.9,1400.0,52.0,B,,0.52,.,170.0,170.0,0.473,76.0,37.0,A,218.0,60.0,Beltax,47.0,28.0,4.0,5.0
BML1407,1400.0,FREE_STANDING,"[2024, 1, 24]",1400.0,7.0,B,31.0,21.0,48.0,24.0,85.0,,53.9,1400.0,52.0,B,,0.5,.,162.0,162.0,0.448,76.0,37.0,A,208.0,60.0,Beltax,45.0,25.0,4.0,5.0
BML1409,1400.0,FREE_STANDING,"[2024, 1, 24]",1400.0,9.0,B,30.0,21.0,60.0,24.0,85.0,,53.9,1400.0,51.9,B,,0.5,.,174.0,174.0,0.494,76.0,45.0,A,228.0,60.0,Beltax,49.0,29.0,4.0,5.0
WF3S1043BB3,1400.0,FREE_STANDING,"[2024, 1, 24]",1400.0,10.5,B,30.0,23.0,59.0,24.0,85.0,2.0,53.9,1400.0,41.0,A,,0.49,https://global.hisense.com/laundry,180.0,140.0,0.412,72.0,43.0,A,239.0,60.0,HISENSE,41.0,22.0,4.0,5.0
NF86WK IT,1351.0,FREE_STANDING,"[2024, 1, 23]",1351.0,8.0,B,33.0,21.0,61.0,24.0,85.0,,53.0,1351.0,52.0,B,0.5,0.5,https://docs.whirlpool.eu/,168.0,160.0,0.472,76.0,48.0,A,218.0,60.0,HOTPOINT/ARISTON,47.0,28.0,4.0,5.0
eiQINTWM149,1350.0,BUILT_IN,"[2024, 1, 23]",1350.0,9.0,B,43.0,23.0,56.0,12.0,83.0,,53.9,1350.0,51.9,B,,0.5,www.electriQ.co.uk,174.0,174.0,0.494,76.0,50.0,A,228.0,60.0,electriQ,49.0,32.0,4.0,5.0
CELL8140IW,1400.0,FREE_STANDING,"[2024, 1, 23]",1400.0,8.0,B,35.0,23.0,52.0,24.0,85.0,,53.9,1400.0,52.0,B,,0.5,www.continentaledison.fr,168.0,168.0,0.473,76.0,47.0,A,218.0,60.0,Continental Edison,47.0,28.0,4.0,5.0
BWE 81496X WSV EE,1351.0,FREE_STANDING,"[2024, 1, 23]",1351.0,8.0,B,33.0,21.0,63.0,24.0,85.0,,53.0,1351.0,52.0,C,0.5,0.5,https://docs.whirlpool.eu/,168.0,160.0,0.472,78.0,48.0,A,218.0,60.0,INDESIT,47.0,28.0,4.0,5.0
PR147AT3INV,1330.0,FREE_STANDING,"[2024, 1, 23]",1330.0,7.0,B,44.0,23.0,50.0,60.0,85.0,0.0,53.4,1330.0,60.0,B,1.0,0.5,https://www.koncar-ka.hr,162.0,162.0,0.517,76.0,45.0,B,208.0,60.0,KONČAR,52.0,29.0,4.0,5.0
WM1260T14D,1200.0,FREE_STANDING,"[2024, 1, 23]",1200.0,6.0,B,44.0,26.0,49.0,24.0,84.0,0.0,53.4,1200.0,80.0,C,1.0,0.5,www.voxelectronics.com,154.0,152.0,0.648,78.0,43.0,D,193.0,59.0,VOX Electronics,65.0,36.0,4.0,5.0
LTR7A80560 913143842,1451.0,FREE_STANDING,"[2024, 1, 22]",1451.0,6.0,B,41.0,23.0,60.0,24.0,90.0,,53.9,1451.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143842,155.0,155.0,0.42,79.0,43.0,A,195.0,40.0,AEG,42.0,25.0,4.0,4.9
LTR6A60370 913143675,1251.0,FREE_STANDING,"[2024, 1, 22]",1251.0,7.0,B,46.0,23.0,60.0,24.0,90.0,,53.9,1251.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143675,160.0,160.0,0.447,79.0,45.0,A,205.0,40.0,AEG,45.0,25.0,4.0,4.9
LTR7E81569 913143839,1451.0,FREE_STANDING,"[2024, 1, 22]",1451.0,6.0,B,41.0,23.0,60.0,24.0,90.0,,53.9,1451.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143839,155.0,155.0,0.42,79.0,43.0,A,195.0,40.0,AEG,42.0,25.0,4.0,4.9
LTR6E60378 913143676,1251.0,FREE_STANDING,"[2024, 1, 22]",1251.0,7.0,B,46.0,23.0,60.0,24.0,90.0,,53.9,1251.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143676,160.0,160.0,0.447,79.0,45.0,A,205.0,40.0,AEG,45.0,25.0,4.0,4.9
LTR7E71378 913143766,1251.0,FREE_STANDING,"[2024, 1, 22]",1251.0,7.0,B,46.0,23.0,60.0,24.0,90.0,,53.9,1251.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143766,160.0,160.0,0.447,79.0,45.0,A,205.0,40.0,AEG,45.0,25.0,4.0,4.9
LTR7A37STL 913143767,1251.0,FREE_STANDING,"[2024, 1, 22]",1251.0,7.0,B,46.0,23.0,60.0,24.0,90.0,,53.9,1251.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143767,160.0,160.0,0.447,79.0,45.0,A,205.0,40.0,AEG,45.0,25.0,4.0,4.9
EW7T673L1L 913148360,1251.0,FREE_STANDING,"[2024, 1, 22]",1251.0,7.0,B,46.0,23.0,60.0,24.0,91.0,,53.9,1251.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913148360,160.0,160.0,0.447,79.0,45.0,A,205.0,40.0,Electrolux,45.0,25.0,4.0,4.9
LTR7A56STL 913143843,1451.0,FREE_STANDING,"[2024, 1, 22]",1451.0,6.0,B,41.0,23.0,60.0,24.0,90.0,,53.9,1451.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143843,155.0,155.0,0.42,79.0,43.0,A,195.0,40.0,AEG,42.0,25.0,4.0,4.9
LTR7A71370 913143765,1251.0,FREE_STANDING,"[2024, 1, 22]",1251.0,7.0,B,46.0,23.0,60.0,24.0,90.0,,53.9,1251.0,51.9,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143765,160.0,160.0,0.447,79.0,45.0,A,205.0,40.0,AEG,45.0,25.0,4.0,4.9
