modelIdentifier,spinSpeedRated,type,onMarketStartDate,spinSpeedHalf,ratedCapacity,spinClass,maxTemperatureRated,maxTemperatureQuarter,dimensionDepth,guaranteeDuration,dimensionHeight,spinSpeedQuarter,energyEfficiencyIndex,noiseClass,powerOffMode,webLinkSupplier,programmeDurationHalf,programmeDurationQuarter,energyConsPerCycle,noise,waterCons,energyClass,programmeDurationRated,dimensionWidth,supplierOrTrademark,energyConsPer100Cycle,maxTemperatureHalf,powerDelayStart,rinsingEffectiveness
OZ4 272DW3/1-S,1151.0,FREE_STANDING,"[2025, 2, 11]",1151.0,7.0,B,37.0,25.0,45.0,24.0,85.0,1151.0,68.9,C,0.5,https://corporate.haier-europe.com/en/,162.0,162.0,0.594,79.0,41.0,C,208.0,60.0,Zerowatt,59.0,32.0,4.0,4.9
OZ4 062D2/1-S,951.0,FREE_STANDING,"[2025, 2, 11]",951.0,6.0,C,39.0,27.0,45.0,24.0,85.0,951.0,80.0,C,0.5,https://corporate.haier-europe.com/en/,156.0,156.0,0.648,77.0,40.0,D,198.0,60.0,Zerowatt,65.0,36.0,4.0,4.9
WFO 1077 WL MB 4,1000.0,FREE_STANDING,"[2025, 2, 11]",1000.0,7.0,C,44.0,20.0,53.0,24.0,85.0,1000.0,80.0,B,0.5,http://www.ocean.it,162.0,160.0,0.6900000000000001,76.0,45.0,D,205.0,60.0,OCEAN,69.0,29.0,4.0,5.0
LFR6284N4B 914913173,1351.0,FREE_STANDING,"[2025, 2, 10]",1351.0,8.0,B,39.0,22.0,60.0,24.0,85.0,1351.0,51.8,B,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914913173,160.0,155.0,0.471,74.0,43.0,A,205.0,60.0,AEG,47.0,30.0,4.0,4.9
FFB 9479 BV EE,1351.0,FREE_STANDING,"[2025, 2, 10]",1351.0,9.0,B,35.0,24.0,63.0,24.0,85.0,1351.0,46.7,C,0.5,https://docs.whirlpool.eu/,170.0,150.0,0.444,78.0,47.0,A,225.0,60.0,WHIRLPOOL,44.0,28.0,4.0,4.9
TDLR 6261BS EU/N,1151.0,FREE_STANDING,"[2025, 2, 10]",1151.0,6.0,B,29.0,23.0,60.0,24.0,90.0,1151.0,52.0,C,0.11,https://docs.whirlpool.eu/,155.0,135.0,0.421,79.0,43.0,A,195.0,40.0,WHIRLPOOL,42.0,26.0,4.0,4.9
WNP96SLAAIN1,1600.0,FREE_STANDING,"[2025, 2, 10]",1600.0,9.0,A,33.0,22.0,58.0,24.0,84.0,1600.0,51.5,C,0.5,https://www.smeg.com/services/customer-service,173.0,173.0,0.49,78.0,43.0,A,228.0,60.0,SMEG,49.0,28.0,4.0,4.9
WN84SEA1,1400.0,FREE_STANDING,"[2025, 2, 10]",1400.0,8.0,B,32.0,24.0,55.0,24.0,84.0,1400.0,51.5,B,0.5,https://www.smeg.com/services/customer-service,167.0,167.0,0.468,76.0,47.0,A,218.0,60.0,SMEG,47.0,30.0,4.0,4.9
WM-FB8514W1ACZ,1330.0,FREE_STANDING,"[2025, 2, 10]",1330.0,8.0,B,37.0,22.0,53.0,24.0,85.0,1330.0,52.0,B,0.5,https://daewooelectronics.com/,168.0,168.0,0.473,76.0,48.0,A,218.0,60.0,DAEWOO,47.0,28.0,4.0,5.0
WN814SEA1,1400.0,FREE_STANDING,"[2025, 2, 10]",1400.0,8.0,B,32.0,24.0,55.0,24.0,84.0,1400.0,51.5,B,0.5,https://www.smeg.com/services/customer-service,167.0,167.0,0.468,76.0,47.0,A,218.0,60.0,SMEG,47.0,30.0,4.0,4.9
WNP04SEAES1,1400.0,FREE_STANDING,"[2025, 2, 10]",1400.0,10.0,B,33.0,22.0,58.0,24.0,84.0,1400.0,51.5,B,0.5,https://www.smeg.com/services/customer-service,173.0,173.0,0.509,75.0,51.0,A,228.0,60.0,SMEG,51.0,31.0,4.0,4.9
EWFI6194O2DA 914932083,1351.0,FREE_STANDING,"[2025, 2, 10]",1351.0,9.0,B,33.0,26.0,66.0,0.0,85.0,1351.0,51.8,B,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914932083,165.0,155.0,0.493,76.0,50.0,A,220.0,60.0,Electrolux,49.0,27.0,4.0,4.9
LFR6214O4B 914915746,1351.0,FREE_STANDING,"[2025, 2, 10]",1351.0,10.0,B,34.0,25.0,66.0,24.0,85.0,1351.0,51.8,B,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914915746,175.0,155.0,0.512,76.0,52.0,A,230.0,60.0,AEG,51.0,27.0,4.0,4.9
LFR6214O2B 914915747,1351.0,FREE_STANDING,"[2025, 2, 10]",1351.0,10.0,B,34.0,25.0,66.0,24.0,85.0,1351.0,51.8,B,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914915747,175.0,155.0,0.512,76.0,52.0,A,230.0,60.0,AEG,51.0,27.0,4.0,4.9
LTR7E7026EU 913143791,1151.0,FREE_STANDING,"[2025, 2, 10]",1151.0,6.0,B,43.0,25.0,60.0,24.0,90.0,1151.0,59.8,C,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143791,155.0,155.0,0.484,78.0,43.0,B,197.0,40.0,AEG,48.0,34.0,4.0,4.9
WF90F09C4S,1400.0,FREE_STANDING,"[2025, 2, 7]",1400.0,9.0,B,25.0,24.0,60.0,24.0,85.0,1400.0,23.4,A,0.5,https://www.samsung.com/support,174.0,174.0,0.223,72.0,50.0,A,228.0,60.0,Samsung,22.0,24.0,4.0,5.0
WF814LEVM,1400.0,FREE_STANDING,"[2025, 2, 7]",1400.0,8.0,B,28.0,23.0,54.0,24.0,85.0,1400.0,41.1,B,0.49,https://global.hisense.com/laundry,168.0,146.0,0.374,74.0,40.0,A,218.0,60.0,HISENSE,37.0,27.0,4.0,5.0
FF0824WA1,1400.0,FREE_STANDING,"[2025, 2, 6]",1400.0,8.0,B,35.0,22.0,52.0,24.0,85.0,1400.0,46.6,A,0.5,http://www.tcl.com/,168.0,168.0,0.424,72.0,48.0,A,218.0,60.0,TCL,42.0,27.0,4.0,5.0
FF0814WA1GR,1400.0,FREE_STANDING,"[2025, 2, 6]",1400.0,8.0,B,35.0,22.0,52.0,24.0,85.0,1400.0,46.6,A,0.5,http://www.tcl.com/,168.0,168.0,0.424,72.0,48.0,A,218.0,60.0,TCL,42.0,27.0,4.0,5.0
FF1014WA1GR,1400.0,FREE_STANDING,"[2025, 2, 6]",1400.0,10.0,B,33.0,23.0,63.0,24.0,85.0,1400.0,46.5,B,0.5,http://www.tcl.com/,180.0,180.0,0.459,76.0,52.0,A,239.0,60.0,TCL,46.0,27.0,4.0,5.0
FF0924SA1,1400.0,FREE_STANDING,"[2025, 2, 6]",1400.0,9.0,B,36.0,24.0,56.0,24.0,85.0,1400.0,46.6,A,0.5,http://www.tcl.com/,174.0,174.0,0.443,72.0,50.0,A,228.0,60.0,TCL,44.0,30.0,4.0,5.0
FF1124WA0UK,1400.0,FREE_STANDING,"[2025, 2, 6]",1400.0,11.0,C,32.0,24.0,65.0,24.0,85.0,1400.0,39.0,B,0.5,http://www.tcl.com/,180.0,180.0,0.398,76.0,54.0,A,240.0,60.0,TCL,40.0,29.0,4.0,5.0
FF0824SA1,1400.0,FREE_STANDING,"[2025, 2, 6]",1400.0,8.0,B,35.0,22.0,52.0,24.0,85.0,1400.0,46.6,A,0.5,http://www.tcl.com/,168.0,168.0,0.424,72.0,48.0,A,218.0,60.0,TCL,42.0,27.0,4.0,5.0
FF1024SA0,1400.0,FREE_STANDING,"[2025, 2, 6]",1400.0,10.0,B,33.0,23.0,63.0,24.0,85.0,1400.0,46.5,B,0.5,http://www.tcl.com/,180.0,180.0,0.459,76.0,52.0,A,239.0,60.0,TCL,46.0,27.0,4.0,5.0
